SUMLEV,REGION,DIVISION,state,county,Stname,ctyname,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,Births2010,Births2011,Deaths2010,Deaths2011,NATURALINC2010,NATURALINC2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,NETMIG2010,NETMIG2011,RESIDUAL2010,RESIDUAL2011,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,Rbirth2011,Rdeath2011,RNATURALINC2011,RINTERNATIONALMIG2011,RDOMESTICMIG2011,RNETMIG2011
050,3,6,28,083,Mississippi,Leflore County,32317,32317,32293,31861,-24,-432,124,547,94,360,30,187,4,15,-60,-641,-56,-626,2,7,2279,2279,2279,17.0527169,11.222994669,5.8297222309,0.4676247779,-19.98316551,-19.51554073
050,3,6,28,085,Mississippi,Lincoln County,34869,34869,34869,34889,0,20,112,478,83,377,29,101,6,21,-34,-100,-28,-79,-1,-2,714,714,714,13.704521345,10.808796124,2.8957252215,0.6020814817,-2.867054675,-2.264973193
050,3,6,28,087,Mississippi,Lowndes County,59779,59779,59818,59671,39,-147,188,804,133,539,55,265,22,36,-38,-451,-16,-415,0,3,1318,1318,1318,13.457305693,9.0217509562,4.4355547373,0.6025659266,-7.548812025,-6.946246098
050,3,6,28,089,Mississippi,Madison County,95203,95203,95553,96941,350,1388,294,1289,267,1013,27,276,28,114,297,1001,325,1115,-2,-3,1765,1765,1765,13.392625225,10.525003377,2.867621848,1.1844525024,10.400324166,11.584776668
050,3,6,28,091,Mississippi,Marion County,27088,27088,27083,26809,-5,-274,84,393,73,350,11,43,0,0,-16,-320,-16,-320,0,3,693,693,693,14.584725006,12.988940845,1.5957841609,0,-11.87560306,-11.87560306
050,3,6,28,093,Mississippi,Marshall County,37144,37144,37125,36786,-19,-339,109,463,107,398,2,65,7,37,-27,-446,-20,-409,-1,5,1737,1737,1737,12.528581673,10.769709515,1.7588721571,1.0012041509,-12.06856895,-11.0673648
050,3,6,28,095,Mississippi,Monroe County,36989,36989,36900,36626,-89,-274,97,427,79,387,18,40,4,15,-112,-331,-108,-316,1,2,408,408,408,11.614938933,10.526888448,1.0880504855,0.4080189321,-9.003617768,-8.595598836
050,3,6,28,097,Mississippi,Montgomery County,10925,10925,10927,10872,2,-55,28,137,24,135,4,2,0,0,-1,-58,-1,-58,-1,1,99,99,99,12.569383917,12.385889261,0.1834946557,0,-5.321345016,-5.321345016
050,3,6,28,099,Mississippi,Neshoba County,29676,29676,29661,29818,-15,157,105,475,75,310,30,165,1,7,-47,-14,-46,-7,1,-1,386,386,386,15.972023739,10.423847072,5.5481766674,0.235377192,-0.470754384,-0.235377192
050,3,6,28,101,Mississippi,Newton County,21720,21720,21711,21499,-9,-212,69,308,64,290,5,18,3,3,-17,-235,-14,-232,0,2,600,600,600,14.255959269,13.422818792,0.8331404767,0.1388567461,-10.87711178,-10.73825503
050,3,6,28,103,Mississippi,Noxubee County,11545,11545,11517,11351,-28,-166,36,174,13,142,23,32,0,1,-51,-201,-51,-200,0,2,173,173,173,15.217771559,12.419100927,2.7986706315,0.0874584572,-17.5791499,-17.49169145
050,3,6,28,105,Mississippi,Oktibbeha County,47671,47671,47678,47741,7,63,134,540,58,328,76,212,27,107,-97,-254,-70,-147,1,-2,4367,4367,4367,11.318500508,6.8749410495,4.4435594588,2.2427399155,-5.323887276,-3.081147361
050,3,6,28,107,Mississippi,Panola County,34707,34704,34709,34602,5,-107,127,541,85,410,42,131,7,27,-45,-267,-38,-240,1,2,315,315,315,15.610797709,11.830733938,3.7800637705,0.779097113,-7.704404784,-6.925307671
050,3,6,28,109,Mississippi,Pearl River County,55834,55834,55818,55718,-16,-100,160,691,134,578,26,113,3,9,-45,-222,-42,-213,0,0,1124,1124,1124,12.390618276,10.364366662,2.0262516138,0.1613828719,-3.980777507,-3.819394635
050,3,6,28,111,Mississippi,Perry County,12250,12250,12257,12164,7,-93,34,150,15,118,19,32,0,0,-12,-125,-12,-125,0,0,102,102,102,12.284509234,9.6638139306,2.6206953032,0,-10.23709103,-10.23709103
050,3,6,28,113,Mississippi,Pike County,40404,40407,40402,40406,-5,4,139,625,137,497,2,128,1,1,-7,-124,-6,-123,-1,-1,865,865,865,15.468765469,12.300762301,3.168003168,0.0247500248,-3.069003069,-3.044253044
050,3,6,28,115,Mississippi,Pontotoc County,29957,29957,30003,29900,46,-103,101,433,65,229,36,204,8,35,3,-342,11,-307,-1,0,236,236,236,14.456705006,7.6456938718,6.8110111347,1.1685558319,-11.41845984,-10.24990401
050,3,6,28,117,Mississippi,Prentiss County,25276,25276,25204,25330,-72,126,84,324,61,221,23,103,-3,-7,-93,31,-96,24,1,-1,864,864,864,12.823049828,8.7465864566,4.0764633712,-0.2770412,1.2268967428,0.9498555428
050,3,6,28,119,Mississippi,Quitman County,8223,8223,8196,8134,-27,-62,25,122,4,110,21,12,0,1,-47,-76,-47,-75,-1,1,164,164,164,14.941824862,13.472137171,1.4696876914,0.1224739743,-9.308022045,-9.185548071
050,3,6,28,121,Mississippi,Rankin County,141617,141617,142049,143702,432,1653,479,1914,246,983,233,931,20,63,176,655,196,718,3,4,5629,5629,5629,13.396278578,6.8801159051,6.5161626731,0.4409433388,4.5844109032,5.025354242
050,3,6,28,123,Mississippi,Scott County,28264,28264,28334,28388,70,54,107,476,56,288,51,188,31,113,-11,-248,20,-135,-1,1,229,229,229,16.783611297,10.154790029,6.6288212686,3.9843446987,-8.744402525,-4.760057826
050,3,6,28,125,Mississippi,Sharkey County,4916,4916,4879,4892,-37,13,17,76,4,53,13,23,0,0,-50,-10,-50,-10,0,0,108,108,108,15.556237847,10.848429025,4.707808822,0,-2.046873401,-2.046873401
050,3,6,28,127,Mississippi,Simpson County,27503,27503,27500,27320,-3,-180,84,383,59,283,25,100,6,18,-33,-298,-27,-280,-1,0,642,642,642,13.973002554,10.324699015,3.6483035389,0.656694637,-10.87194455,-10.21524991
050,3,6,28,129,Mississippi,Smith County,16491,16491,16463,16442,-28,-21,52,210,37,163,15,47,0,0,-43,-68,-43,-68,0,0,107,107,107,12.764017627,9.9073089196,2.8567087069,0,-4.13311047,-4.13311047
050,3,6,28,131,Mississippi,Stone County,17786,17786,17894,17822,108,-72,51,216,30,163,21,53,1,0,85,-126,86,-126,1,1,1288,1288,1288,12.09541942,9.127561877,2.9678575428,0,-7.055661328,-7.055661328
050,3,6,28,133,Mississippi,Sunflower County,29450,29450,29424,29296,-26,-128,95,389,59,296,36,93,0,9,-63,-233,-63,-224,1,3,4654,4654,4654,13.249318801,10.081743869,3.1675749319,0.3065395095,-7.935967302,-7.629427793
050,3,6,28,135,Mississippi,Tallahatchie County,15378,15378,15355,15318,-23,-37,45,198,11,158,34,40,0,0,-57,-76,-57,-76,0,-1,2421,2421,2421,12.910377205,10.302220194,2.6081570111,0,-4.955498321,-4.955498321
050,3,6,28,137,Mississippi,Tate County,28886,28886,28983,28719,97,-264,86,371,64,276,22,95,3,9,71,-372,74,-363,1,4,1281,1281,1281,12.859172992,9.566392846,3.2927801463,0.3119475928,-12.89383384,-12.58188624
050,3,6,28,139,Mississippi,Tippah County,22232,22232,22232,22143,0,-89,60,274,53,232,7,42,5,23,-11,-156,-6,-133,-1,2,287,287,287,12.349295775,10.456338028,1.8929577465,1.0366197183,-7.030985915,-5.994366197
050,3,6,28,141,Mississippi,Tishomingo County,19593,19593,19588,19603,-5,15,43,184,77,299,-34,-115,6,25,25,106,31,131,-2,-1,280,280,280,9.3899109489,15.258605292,-5.868694343,1.2758031181,5.4094052206,6.6852083386
050,3,6,28,143,Mississippi,Tunica County,10778,10778,10758,10628,-20,-130,51,184,6,93,45,91,11,41,-77,-265,-66,-224,1,3,104,104,104,17.207518938,8.6972785935,8.5102403442,3.8342841111,-24.78256804,-20.94828392
050,3,6,28,145,Mississippi,Union County,27134,27134,27160,27340,26,180,80,354,61,239,19,115,6,26,2,39,8,65,-1,0,283,283,283,12.990825688,8.7706422018,4.2201834862,0.9541284404,1.4311926606,2.3853211009
050,3,6,28,147,Mississippi,Walthall County,15443,15443,15426,15406,-17,-20,45,196,26,183,19,13,0,2,-35,-36,-35,-34,-1,1,128,128,128,12.714063311,11.870783601,0.8432797094,0.1297353399,-2.335236118,-2.205500778
050,3,6,28,149,Mississippi,Warren County,48773,48773,48803,48346,30,-457,152,660,126,496,26,164,11,45,-6,-673,5,-628,-1,7,524,524,524,13.587376092,10.211119003,3.3762570896,0.9264120063,-13.85500623,-12.92859422
050,3,6,28,151,Mississippi,Washington County,51137,51137,51050,50406,-87,-644,192,815,176,659,16,156,3,9,-108,-821,-105,-812,2,12,548,548,548,16.066077906,12.990853178,3.075224728,0.1774168112,-16.18435578,-16.00693897
050,3,6,28,153,Mississippi,Wayne County,20747,20747,20784,20589,37,-195,76,288,31,193,45,95,1,2,-7,-293,-6,-291,-2,1,137,137,137,13.922123124,9.3297561211,4.5923670026,0.0966814106,-14.16382665,-14.06714524
050,3,6,28,155,Mississippi,Webster County,10253,10253,10300,10319,47,19,32,130,33,148,-1,-18,2,8,47,31,49,39,-1,-2,56,56,56,12.609728891,14.355691353,-1.745962462,0.7759833164,3.0069353509,3.7829186672
050,3,6,28,157,Mississippi,Wilkinson County,9878,9878,9855,9679,-23,-176,26,123,18,140,8,-17,0,0,-32,-161,-32,-161,1,2,1168,1168,1168,12.593426846,14.333981775,-1.74055493,0,-16.48407904,-16.48407904
050,3,6,28,159,Mississippi,Winston County,19198,19198,19193,19069,-5,-124,51,235,43,243,8,-8,0,1,-12,-117,-12,-116,-1,0,408,408,408,12.283727981,12.701897444,-0.418169463,0.0522711829,-6.115728399,-6.063457216
050,3,6,28,161,Mississippi,Yalobusha County,12678,12678,12663,12552,-15,-111,38,155,21,166,17,-11,0,0,-31,-101,-31,-101,-1,1,155,155,155,12.294269284,13.166765814,-0.87249653,0,-8.011104501,-8.011104501
050,3,6,28,163,Mississippi,Yazoo County,28065,28065,28021,27886,-44,-135,91,404,45,254,46,150,2,4,-93,-290,-91,-286,1,1,4020,4020,4020,14.452573023,9.0865186828,5.3660543402,0.1430947824,-10.37437172,-10.23127694
040,2,4,29,000,Missouri,Missouri,5988927,5988927,5995715,6010688,6788,14973,18600,75910,13350,54361,5250,21549,1638,5319,-26,-11805,1612,-6486,-74,-90,174142,174031,174034,12.644919548,9.0553348909,3.5895846575,0.8860272306,-1.966450735,-1.080423504
050,2,4,29,001,Missouri,Adair County,25607,25607,25592,25552,-15,-40,61,273,49,184,12,89,3,8,-30,-137,-27,-129,0,0,2900,2900,2900,10.67573909,7.1953699359,3.4803691538,0.3128421711,-5.357422181,-5.044580009
050,2,4,29,003,Missouri,Andrew County,17291,17291,17377,17196,86,-181,45,188,35,172,10,16,1,0,73,-198,74,-198,2,1,192,192,192,10.875538715,9.9499609522,0.925577763,0,-11.45402482,-11.45402482
050,2,4,29,005,Missouri,Atchison County,5685,5685,5655,5569,-30,-86,14,62,13,93,1,-31,0,0,-31,-54,-31,-54,0,-1,98,98,98,11.047754811,16.571632217,-5.523877406,0,-9.622238061,-9.622238061
050,2,4,29,007,Missouri,Audrain County,25529,25529,25487,25566,-42,79,94,362,87,296,7,66,3,19,-52,-5,-49,14,0,-1,2100,2100,2100,14.181340959,11.595792608,2.5855483517,0.7443245255,-0.195874875,0.5484496504
050,2,4,29,009,Missouri,Barry County,35597,35597,35558,35282,-39,-276,100,432,92,358,8,74,2,8,-48,-360,-46,-352,-1,2,296,296,296,12.196499153,10.10728402,2.0892151327,0.2258610954,-10.16374929,-9.937888199
050,2,4,29,011,Missouri,Barton County,12402,12402,12392,12327,-10,-65,33,132,23,138,10,-6,3,11,-22,-69,-19,-58,-1,-1,90,90,90,10.680043691,11.165500223,-0.485456531,0.8900036409,-5.582750111,-4.69274647
050,2,4,29,013,Missouri,Bates County,17049,17049,17050,17008,1,-42,47,196,44,191,3,5,0,0,-1,-46,-1,-46,-1,-1,311,311,311,11.509777438,11.216160667,0.2936167714,0,-2.701274297,-2.701274297
050,2,4,29,015,Missouri,Benton County,19056,19056,19108,19115,52,7,47,166,70,264,-23,-98,7,32,68,76,75,108,0,-3,244,244,244,8.6858697643,13.813672396,-5.127802632,1.6743845329,3.9766632656,5.6510477984
050,2,4,29,017,Missouri,Bollinger County,12363,12363,12341,12356,-22,15,32,135,41,140,-9,-5,0,0,-13,21,-13,21,0,-1,163,163,163,10.932501923,11.337409402,-0.404907479,0,1.7006114103,1.7006114103
050,2,4,29,019,Missouri,Boone County,162642,162642,163193,165627,551,2434,487,2044,227,942,260,1102,104,364,183,959,287,1323,4,9,8998,8998,8998,12.4323338,5.7295784928,6.7027553069,2.213977252,5.8329785293,8.0469557813
050,2,4,29,021,Missouri,Buchanan County,89201,89201,89051,89666,-150,615,304,1274,215,871,89,403,12,53,-256,162,-244,215,5,-3,4495,4384,4384,14.257177549,9.7472540385,4.5099235104,0.5931164914,1.8129221059,2.4060385973
050,2,4,29,023,Missouri,Butler County,42794,42794,42809,43082,15,273,126,530,132,529,-6,1,3,14,21,257,24,271,-3,1,884,884,884,12.341223178,12.317937851,0.0232853268,0.3259945745,5.9843289751,6.3103235496
050,2,4,29,025,Missouri,Caldwell County,9424,9424,9432,9315,8,-117,23,102,18,100,5,2,0,1,4,-121,4,-120,-1,1,214,214,214,10.881741079,10.668373606,0.2133674721,0.1066837361,-12.90873206,-12.80204833
050,2,4,29,027,Missouri,Callaway County,44332,44332,44400,44420,68,20,123,482,95,356,28,126,2,6,37,-110,39,-104,1,-2,3907,3907,3907,10.853411394,8.0162125647,2.8371988291,0.1351047061,-2.476919613,-2.341814907
